timestamp,side,price,amount,cost
2025-05-21T04:47:46.981103,buy,170.77,0.058,9.904660000000002
2025-05-21T04:47:57.657304,buy,170.69,0.058,9.90002
2025-05-21T04:48:06.841591,buy,170.7,0.058,9.900599999999999
2025-05-21T04:48:17.119661,buy,170.69,0.058,9.90002
2025-05-21T04:48:27.629941,buy,170.71,0.058,9.90118
2025-05-21T04:48:37.684898,buy,170.71,0.058,9.90118
2025-05-21T04:48:48.042888,buy,170.71,0.058,9.90118
2025-05-21T04:48:58.131761,buy,170.71,0.058,9.90118
2025-05-21T04:49:08.127151,sell,170.68,0.464,79.19552
2025-05-21T04:49:18.441193,buy,170.76,0.058,9.90408
2025-05-21T04:49:28.316242,buy,170.66,0.058,9.89828
2025-05-21T04:49:38.318222,buy,170.57,0.058,9.89306
2025-05-21T04:49:48.850542,buy,170.57,0.058,9.89306
2025-05-21T04:49:58.564459,buy,170.57,0.058,9.89306
2025-05-21T04:50:08.807504,buy,170.56,0.058,9.89248
2025-05-21T04:50:19.570062,buy,170.54,0.058,9.89132
2025-05-21T04:50:29.876835,buy,170.53,0.058,9.890740000000001
2025-05-21T04:50:39.228469,buy,170.53,0.058,9.890740000000001
2025-05-21T04:50:49.402857,buy,170.55,0.058,9.891900000000001
2025-05-21T04:50:59.081215,buy,170.54,0.058,9.89132
2025-05-21T04:51:08.864508,buy,170.56,0.058,9.89248
2025-05-21T04:51:19.090715,buy,170.54,0.058,9.89132
2025-05-21T04:51:28.790482,buy,170.52,0.058,9.890160000000002
2025-05-21T04:51:38.190436,buy,170.49,0.058,9.888420000000002
2025-05-21T04:51:48.789831,buy,170.46,0.058,9.88668
2025-05-21T04:51:58.790106,buy,170.5,0.058,9.889000000000001
2025-05-21T04:52:08.462396,buy,170.52,0.058,9.890160000000002
2025-05-21T04:52:18.646911,buy,170.54,0.058,9.89132
2025-05-21T04:52:36.424962,sell,170.62,1.102,188.02324000000002
2025-05-21T04:53:36.102920,buy,170.19,0.058,9.87102
2025-05-21T04:53:46.622153,buy,170.19,0.058,9.87102
2025-05-21T04:53:56.896883,buy,170.22,0.058,9.872760000000001
2025-05-21T04:54:06.730169,buy,170.23,0.058,9.87334
2025-05-21T04:54:16.660346,buy,170.28,0.058,9.876240000000001
2025-05-21T04:54:27.008076,buy,170.26,0.058,9.87508
2025-05-21T04:54:37.551152,buy,170.26,0.058,9.87508
2025-05-21T04:54:47.896125,buy,170.26,0.058,9.87508
2025-05-21T04:54:58.272750,buy,170.31,0.058,9.87798
2025-05-21T04:55:08.410411,sell,170.3,0.522,88.8966
2025-05-21T04:55:50.164333,buy,170.17,0.058,9.86986
2025-05-21T04:56:00.587309,buy,170.17,0.058,9.86986
2025-05-21T04:56:10.962575,buy,170.2,0.058,9.871599999999999
2025-05-21T04:56:21.186370,buy,170.2,0.058,9.871599999999999
2025-05-21T04:56:31.005717,buy,170.29,0.058,9.87682
